is_string_match,is_string_without_punctuation_match,is_abbreviation,is_first_pronoun,is_second_pronoun,is_on_one_sentence,is_substring,first_name_class,second_name_class,negative,positive,support,confidence
0,0,0,0,0,1,0,PERSON,ORGANIZATION,146,0,0.0009204039690845132,0.0
0,0,0,0,0,1,0,LOCATION,ORGANIZATION,45,0,0.0002836861548548157,0.0
0,0,0,0,1,1,0,LOCATION,PERSON,42,6,0.0003025985651784701,0.125
0,0,0,0,0,0,1,ORGANIZATION,LOCATION,17,5,0.00013869100904013215,0.22727272727272727
0,0,0,0,1,1,0,PERSON,PERSON,115,34,0.0009393163794081677,0.22818791946308725
0,0,0,1,0,1,0,PERSON,LOCATION,72,0,0.0004538978477677052,0.0
0,0,0,1,1,0,0,PERSON,PERSON,952,305,0.007924299925611186,0.24264120922832141
0,0,0,0,0,0,1,LOCATION,LOCATION,20,4,0.00015129928258923506,0.16666666666666666
1,1,0,0,0,0,1,PERSON,UNKNOWN,18,44,0.00039085648002219053,0.7096774193548387
0,0,0,0,1,0,1,PERSON,PERSON,35,5,0.0002521654709820584,0.125
0,0,0,0,1,0,1,UNKNOWN,PERSON,233,0,0.0014688638684704903,0.0
0,0,0,0,0,1,0,PERSON,PERSON,261,8,0.0016958127923543428,0.02973977695167286
0,0,0,0,0,0,1,PERSON,PERSON,21,27,0.0003025985651784701,0.5625
0,0,0,1,0,1,0,PERSON,PERSON,108,4,0.0007060633187497636,0.03571428571428571
1,1,0,1,1,1,1,PERSON,PERSON,66,17,0.0005232433522877713,0.20481927710843373
0,0,0,1,1,1,0,PERSON,PERSON,88,25,0.0007123674555243151,0.22123893805309736
0,0,0,1,0,0,1,PERSON,UNKNOWN,256,0,0.001613859014285174,0.0
0,0,0,0,1,1,1,UNKNOWN,PERSON,23,0,0.0001449951458146836,0.0
1,1,0,0,0,0,1,PERSON,LOCATION,1,2,1.8912410323654382e-05,0.6666666666666666
0,0,0,0,0,0,1,PERSON,LOCATION,7,1,5.043309419641169e-05,0.125
0,0,0,0,0,1,0,LOCATION,LOCATION,86,1,0.0005484598993859771,0.011494252873563218
1,1,0,0,0,0,1,LOCATION,UNKNOWN,23,26,0.0003089027019530216,0.5306122448979592
0,0,0,0,0,0,1,LOCATION,PERSON,5,4,5.673723097096315e-05,0.4444444444444444
0,0,0,1,0,1,0,PERSON,ORGANIZATION,121,3,0.0007817129600443811,0.024193548387096774
1,1,0,0,0,0,1,UNKNOWN,PERSON,12,15,0.00017021169291288945,0.5555555555555556
0,0,0,0,1,1,0,ORGANIZATION,PERSON,116,15,0.0008258419174662413,0.11450381679389313
1,1,0,0,0,0,1,ORGANIZATION,PERSON,3,7,6.30413677455146e-05,0.7
0,0,0,1,0,0,1,PERSON,PERSON,14,0,8.825791484372045e-05,0.0
1,1,0,0,0,0,1,PERSON,PERSON,6,26,0.00020173237678564675,0.8125
1,1,0,0,0,1,1,UNKNOWN,LOCATION,0,3,1.8912410323654382e-05,1.0
0,0,0,0,1,0,1,LOCATION,PERSON,22,0,0.00013869100904013215,0.0
0,0,0,0,1,1,1,PERSON,PERSON,1,1,1.2608273549102922e-05,0.5
1,1,0,0,0,0,1,ORGANIZATION,UNKNOWN,41,14,0.0003467275226003303,0.2545454545454545
1,1,0,0,0,0,1,LOCATION,PERSON,0,5,3.15206838727573e-05,1.0
0,0,0,0,0,0,1,ORGANIZATION,PERSON,5,10,9.45620516182719e-05,0.6666666666666666
1,1,0,0,0,1,1,ORGANIZATION,UNKNOWN,2,1,1.8912410323654382e-05,0.3333333333333333
0,0,0,1,0,0,1,PERSON,LOCATION,5,0,3.15206838727573e-05,0.0
0,0,0,1,0,1,1,PERSON,UNKNOWN,29,0,0.00018281996646199236,0.0
0,0,0,1,1,0,1,PERSON,PERSON,0,19,0.00011977859871647775,1.0
0,0,0,0,1,1,1,ORGANIZATION,PERSON,2,0,1.2608273549102922e-05,0.0
0,0,0,0,1,0,1,ORGANIZATION,PERSON,21,2,0.0001449951458146836,0.08695652173913043
0,0,1,0,0,1,0,ORGANIZATION,ORGANIZATION,15,0,9.45620516182719e-05,0.0
0,0,1,0,0,1,0,ORGANIZATION,UNKNOWN,4,0,2.5216547098205844e-05,0.0
0,0,1,0,0,1,0,PERSON,PERSON,5,0,3.15206838727573e-05,0.0
0,0,0,0,0,0,1,PERSON,ORGANIZATION,30,5,0.00022064478710930111,0.14285714285714285
0,0,0,0,0,0,1,ORGANIZATION,ORGANIZATION,32,4,0.0002269489238838526,0.1111111111111111
0,0,1,0,0,1,0,UNKNOWN,ORGANIZATION,9,0,5.673723097096315e-05,0.0
0,0,0,0,0,1,1,ORGANIZATION,UNKNOWN,9,0,5.673723097096315e-05,0.0
0,0,0,0,0,1,1,LOCATION,UNKNOWN,3,0,1.8912410323654382e-05,0.0
1,1,0,0,0,0,1,LOCATION,ORGANIZATION,5,5,6.30413677455146e-05,0.5
0,0,0,0,0,1,1,UNKNOWN,PERSON,8,1,5.673723097096315e-05,0.1111111111111111
1,1,0,0,0,1,1,LOCATION,LOCATION,0,2,1.2608273549102922e-05,1.0
0,0,0,0,0,1,1,LOCATION,LOCATION,1,0,6.304136774551461e-06,0.0
0,0,1,0,0,1,0,UNKNOWN,UNKNOWN,17,2,0.00011977859871647775,0.10526315789473684
0,0,1,0,0,0,0,UNKNOWN,UNKNOWN,8,0,5.043309419641169e-05,0.0
0,0,1,0,0,1,0,LOCATION,UNKNOWN,1,0,6.304136774551461e-06,0.0
0,0,1,0,0,0,0,LOCATION,PERSON,1,0,6.304136774551461e-06,0.0
0,0,1,0,0,0,0,LOCATION,ORGANIZATION,2,0,1.2608273549102922e-05,0.0
0,0,0,0,0,1,1,PERSON,PERSON,8,4,7.564964129461753e-05,0.3333333333333333
1,1,0,0,0,1,1,UNKNOWN,UNKNOWN,49,0,0.0003089027019530216,0.0
0,0,0,0,0,1,1,PERSON,UNKNOWN,8,0,5.043309419641169e-05,0.0
0,0,0,0,0,1,1,ORGANIZATION,ORGANIZATION,4,0,2.5216547098205844e-05,0.0
0,0,1,0,0,0,0,PERSON,UNKNOWN,3,0,1.8912410323654382e-05,0.0
1,1,0,0,0,1,1,ORGANIZATION,ORGANIZATION,7,2,5.673723097096315e-05,0.2222222222222222
0,0,1,0,0,0,0,UNKNOWN,ORGANIZATION,4,0,2.5216547098205844e-05,0.0
1,1,0,0,0,1,1,UNKNOWN,PERSON,0,2,1.2608273549102922e-05,1.0
0,0,0,0,0,1,1,UNKNOWN,ORGANIZATION,5,0,3.15206838727573e-05,0.0
0,0,0,0,0,1,1,UNKNOWN,LOCATION,3,0,1.8912410323654382e-05,0.0
0,0,1,0,0,0,0,ORGANIZATION,ORGANIZATION,5,0,3.15206838727573e-05,0.0
0,0,1,0,0,0,1,UNKNOWN,ORGANIZATION,1,0,6.304136774551461e-06,0.0
0,0,1,0,0,1,0,LOCATION,LOCATION,2,0,1.2608273549102922e-05,0.0
0,0,1,0,0,1,0,UNKNOWN,LOCATION,1,0,6.304136774551461e-06,0.0
1,1,0,0,0,0,1,ORGANIZATION,LOCATION,1,1,1.2608273549102922e-05,0.5
0,0,1,0,0,0,0,ORGANIZATION,UNKNOWN,1,0,6.304136774551461e-06,0.0
1,1,0,0,0,1,1,PERSON,PERSON,1,2,1.8912410323654382e-05,0.6666666666666666
0,0,1,0,1,0,0,UNKNOWN,PERSON,6,0,3.7824820647308764e-05,0.0
0,0,1,1,0,0,0,PERSON,UNKNOWN,2,0,1.2608273549102922e-05,0.0
